symbol,date,dividends
ABBV,2014-04-11,0.42
ABBV,2014-07-11,0.42
ABBV,2014-10-10,0.42
ABBV,2015-01-13,0.49
ABBV,2015-04-13,0.51
ABBV,2015-07-13,0.51
ABBV,2015-10-13,0.51
ABBV,2016-01-13,0.57
ABBV,2016-04-13,0.57
ABBV,2016-07-13,0.57
ABBV,2016-10-12,0.57
ABBV,2017-01-11,0.64
ABBV,2017-04-11,0.64
ABBV,2017-07-12,0.64
ABBV,2017-10-12,0.64
ABBV,2018-01-11,0.71
ABBV,2018-04-12,0.96
ABBV,2018-07-12,0.96
ABBV,2018-10-12,0.96
ABBV,2019-01-14,1.07
ABBV,2019-04-12,1.07
ABBV,2019-07-12,1.07
ABBV,2019-10-11,1.07
ABBV,2020-01-14,1.18
ABBV,2020-04-14,1.18
ABBV,2020-07-14,1.18
ABBV,2020-10-14,1.18
ABBV,2021-01-14,1.3
ABBV,2021-04-14,1.3
ABBV,2021-07-14,1.3
ABBV,2021-10-14,1.3
ABBV,2022-01-13,1.41
ABBV,2022-04-13,1.41
ABBV,2022-07-14,1.41
ABBV,2022-10-13,1.41
ABBV,2023-01-12,1.48
ABBV,2023-04-13,1.48
ABBV,2023-07-13,1.48
ABBV,2023-10-12,1.48
ABBV,2024-01-12,1.55
